Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0805,2,100nF,
"C2, C3",1206,2,4.7 µF,
C4,0805,1,10 nF,
C5,CP_EIA-7343-31_Kemet-D,1,220 uF,
D2,DIOM5226X240N,1,SS34,
J1,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
J2,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,Screw_Terminal_01x05,
J3,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",1,Screw_Terminal_01x03,
J4,"PhoenixContact_MSTBA_2,5_12-G-5,08_1x12_P5.08mm_Horizontal",1,Screw_Terminal_01x12,
"J5, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
J6,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J8,J_SD_Card-micro_socket_A,1,112A-TAAR-R03,
L1,L_TechFuse_SL0630,1,22 µH,
"R1, R10, R13, R16, R19, R22, R4, R7",0805,8,10 K,
"R11, R14, R17, R20, R8",0805,5,300,
"R12, R15, R18, R21, R9",0805,5,1 K,
R2,0805,1,3 K,
R3,0805,1,120,
"R5, R6",0805,2,20K,
U1,MODULE_ESP32-DEVKITC-32E,1,ESP32-DEVKITC-32E,
U2,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,
"U3, U4, U5, U6, U7",SOIC127P700X210-4N,5,LTV-217,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
