Designator,Mid X,Mid Y,Rotation,Layer
C1,79.220273,-80.15,180.0,top
C2,47.6,-57.925,180.0,top
C3,47.6,-55.475,180.0,top
C4,41.760702,-69.125,0.0,top
C5,57.75,-73.675,270.0,top
C6,35.0,-53.2,90.0,top
D2,42.7,-62.825,270.0,top
J1,32.125,-77.5175,0.0,top
J2,27.3,-57.775,270.0,top
J3,27.3,-38.925,270.0,top
J4,63.35,-27.275,180.0,top
J5,99.4,-41.065,270.0,top
J6,99.4,-56.525,180.0,top
J7,99.4,-71.825,270.0,top
J8,80.415032,-89.459355,180.0,top
L1,43.05,-77.0,0.0,top
R1,52.85,-71.05,90.0,top
R10,72.924693,-60.540941,0.0,top
R11,43.05,-32.9,90.0,top
R12,47.413445,-48.65,90.0,top
R13,72.954064,-57.925,0.0,top
R14,48.3,-32.9,90.0,top
R15,50.75,-48.65,90.0,top
R16,72.954064,-55.475,0.0,top
R17,53.2,-32.9,90.0,top
R18,53.9,-48.65,90.0,top
R19,72.954064,-53.025,0.0,top
R2,52.825,-65.723576,90.0,top
R20,49.0,-85.925,270.0,top
R21,59.5,-92.1,180.0,top
R22,64.4,-45.5,90.0,top
R3,34.3,-46.2,0.0,top
R4,76.110184,-77.0,180.0,top
R5,35.35,-37.1,90.0,top
R6,28.7,-29.575,0.0,top
R7,82.6,-78.4,180.0,top
R8,38.15,-32.9,90.0,top
R9,65.018622,-61.573093,270.0,top
U1,80.3775,-68.17,0.0,top
U2,47.575,-63.75,90.0,top
U3,39.9,-40.6,270.0,top
U4,46.55,-40.6,270.0,top
U5,53.425,-40.6,270.0,top
U6,59.725,-40.6,270.0,top
U7,53.9,-88.55,270.0,top
U8,40.25,-50.225,90.0,top
