"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U6,U5,U3,U7";"DIP-4_W7.62mm";5;"LTV-817";;;
2;"R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3.24 K";;;
3;"U2";"TI_SO-PowerPAD-8_ThermalVias";1;"TPS5430DDA";;;
4;"C3,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"4.7 µF";;;
5;"L1";"L_7.3x7.3_H4.5";1;"10 µH";;;
6;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
7;"R1,R13,R19,R7,R10,R16,R22,R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";8;"10 K";;;
8;"D2";"DIOM5226X240N";1;"B340A-13-F";;;
9;"G1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
10;"C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.01 µF";;;
11;"J7";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
12;"J1";"TerminalBlock_Phoenix_PT-1,5-5-5.0-H_1x05_P5.00mm_Horizontal";1;"Screw_Terminal_01x05";;;
13;"U1";"MODULE_ESP32-DEVKITC-32E";1;"ESP32-DEVKITC-32E";;;
14;"J5";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Pin";;;
15;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
16;"C5";"C_Elec_6.3x5.8";1;"100 uF";;;
17;"J8";"PhoenixContact_MSTBA_2,5_12-G-5,08_1x12_P5.08mm_Horizontal";1;"Screw_Terminal_01x12";;;
18;"R21,R18,R15,R12,R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"1 K";;;
19;"R20,R17,R8,R11,R14";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";5;"300";;;
20;"J6";"J_SD_Card-micro_socket_A";1;"112A-TAAR-R03";;;
